"Collecteur","N°Famille","Famille","N°Genre","N°Espèce","Genre","Espèce","date récolte","Auteur","N° scan","Subsp.","Nb spécimens","Partie conservée","Intégrité","Etat","Dpt","Nom Dpt","Commune","Lieu dit","Lieu récolte","Habitat","remarques","remarques perso","Nom latin"
"Diard",12,"Cupressaceae",4,54,"Juniperus","communis","29/05/1874","L.","0054_DIARD",,1,"rameau sans infrutescence","complet","B",44,"Loire Atlantique","Le Pallet","Bois Chaudeau","Boischaudeau sur la Sanguèse (Bonneoeuvre)",,,,"Juniperus communis L."
"Figureau",14,"Apiaceae",1,56,"Ephedra","distachya",15/05/1979,"L.","0056_FIGUREAU",,3,"plante entière","complet","TB",44,"Loire-Atlantique","La Turballe",,"La Turballe (44)","Dunes fixées",,,"Ephedra distachya L."
"Diard",14,"Ephedraceae",1,56,"Ephedra","distachya","28/06/1868","L.","0056_DIARD",,2,"plante entière sans racine","complet","B",44,"Loire-Atlantique","La Baule-Escoublac","Escoublac","Dunes d'Escoublae",,,,"Ephedra distachya L."
"Diard",15,"Salicaceae",1,57,"Populus","tremula","22/07/1872","L.","0057_DIARD",,1,"rameau feuillu","complet","B",44,"Loire-Atlantique","St-Herblain","La Bouvardière","La Bouvardière",,,,"Populus tremulaL."
"Diard",15,"Salicaceae",2,60,"Salix","alba","08/08/1869","L.","0060_DIARD",,2,"rameau feuillu","incomplet","M",44,"Loire Atlantique","La Chapelle-Basse-Mer","St Simon","St Simon",,,,"Salix alba L."
"Diard",15,"Salicaceae",2,62,"Salix","triandra","08/08/1869","L.","0062_DIARD",,2,"rameau feuillu","complet","B",44,"Loire Atlantique","La Chapelle-Basse-Mer","St Simon","St Simon",,,,"Salix triandra L."
"Diard",15,"Salicaceae",2,63,"Salix","purpurea","30/06/1871","L.","0063_DIARD",,2,"rameau feuillu","complet","B",44,"Loire-Atlantique","Ancenis",,"Ancenis",,,,"Salix purpurea L."
"Diard",15,"Salicaceae",2,64,"Salix","viminalis","08/08/1869","L.","0064_DIARD",,1,"rameau feuillu","incomplet","B",44,"Loire Atlantique","La Chapelle-Basse-Mer","St Simon","St Simon",,,,"Salix viminalis L."
"Diard",15,"Salicaceae",2,65,"Salix","atrocinerea","22/07/1872","Brot.","0065_DIARD",,2,"rameau feuillu","incomplet","M",44,"Loire-Atlantique","St-Herblain","La Bouvardière","La Bouvardière",,"Salix cinerea",,"Salix atrocinerea Brot."
"Diard",15,"Salicaceae",2,66,"Salix","aurita","02/06/1869","L.","0066_DIARD",,2,"rameau feuillu","incomplet","M",44,"Loire-Atlantique","Missillac","La Matinaie","La Matinaie",,,,"Salix aurita L."
